Nome,Sobrenome,DataContratacao,Salario,Sexo,Cidade,Cargo
Pedro,Rodrigues,2007-08-16,7000.0,Masculino,Belo Horizonte,Assessor 1
Carlos,Santos,2015-05-07,7000.0,Feminino,Recife,Assessor 2
Laura,Oliveira,2016-04-04,7000.0,Masculino,Curitiba,Assessor 2
Camila,Oliveira,2014-03-14,7000.0,Masculino,Belo Horizonte,Assessor 1
Camila,Ferreira,2013-08-12,7000.0,Masculino,Curitiba,Assessor 1
Bruno,Gomes,2015-08-10,11000.0,Feminino,Rio de Janeiro,Assessor 1
Ana,Rodrigues,2005-11-23,15000.0,Masculino,São Paulo,Assessor 3
Ana,Silva,2013-03-28,7000.0,Feminino,Manaus,Assessor 1
Camila,Lima,2009-09-06,16000.0,Masculino,Brasília,Assessor 3
Lucas,Rodrigues,2005-11-09,15000.0,Masculino,Rio de Janeiro,Assessor 3
Larissa,Ferreira,2020-10-06,7000.0,Feminino,Manaus,Assessor 1
João,Lima,2014-11-26,7000.0,Feminino,Fortaleza,Assessor 2
Maria,Martins,2012-05-07,7000.0,Feminino,Curitiba,Assessor 1
João,Santos,2014-04-22,7000.0,Masculino,Curitiba,Assessor 2
Pedro,Silva,2007-01-19,7000.0,Masculino,Belo Horizonte,Assessor 2
Larissa,Rodrigues,2009-04-22,7000.0,Feminino,Fortaleza,Assessor 2
Laura,Lima,2008-02-02,7000.0,Feminino,Curitiba,Assessor 1
Camila,Ferreira,2015-07-04,nan,,Porto Alegre,Assessor 2
Ana,Almeida,2000-05-06,13000.0,Feminino,Rio de Janeiro,Assessor 2
Pedro,Gomes,2005-10-23,7000.0,Feminino,Salvador,Assessor 2
Larissa,Lima,2002-11-14,7000.0,Feminino,Salvador,Assessor 3
Camila,Oliveira,2021-05-15,16000.0,Feminino,Brasília,Assessor 3
Carlos,Ferreira,2017-04-15,7000.0,Masculino,Curitiba,Assessor 1
Carlos,Santos,2003-09-10,7000.0,Feminino,Manaus,Assessor 1
