Nome,Sobrenome,DataContratacao,Salario,Sexo,Cidade,Cargo
Larissa,Pereira,2000-07-21,7000.0,Feminino,Recife,Gerente de Equipe
Carlos,Santos,2015-05-07,7000.0,Feminino,Recife,Assessor 2
Carlos,Rodrigues,2002-03-03,7000.0,Feminino,Salvador,Gerente de Soluções
Bruno,Almeida,2015-06-30,7000.0,Feminino,Recife,Gerente de Soluções
Pedro,Silva,2008-04-23,8000.0,Feminino,Rio de Janeiro,Escriturário
Bruno,Gomes,2015-08-10,11000.0,Feminino,Rio de Janeiro,Assessor 1
Ana,Silva,2013-03-28,7000.0,Feminino,Manaus,Assessor 1
Laura,Martins,2007-09-17,7000.0,Feminino,Manaus,Escriturário
Ana,Almeida,2003-03-24,7000.0,Feminino,Manaus,Escriturário
Larissa,Rodrigues,2008-08-01,7000.0,Feminino,Salvador,Gerente de Equipe
Larissa,Ferreira,2020-10-06,7000.0,Feminino,Manaus,Assessor 1
João,Rodrigues,2020-10-04,7000.0,Feminino,Manaus,Gerente de Equipe
João,Lima,2014-11-26,7000.0,Feminino,Fortaleza,Assessor 2
Maria,Martins,2012-05-07,7000.0,Feminino,Curitiba,Assessor 1
Larissa,Rodrigues,2009-04-22,7000.0,Feminino,Fortaleza,Assessor 2
Laura,Lima,2008-02-02,7000.0,Feminino,Curitiba,Assessor 1
Ana,Almeida,2000-05-06,13000.0,Feminino,Rio de Janeiro,Assessor 2
Pedro,Gomes,2005-10-23,7000.0,Feminino,Salvador,Assessor 2
Lucas,Almeida,2008-08-22,7000.0,Feminino,Recife,Gerente de Soluções
Larissa,Lima,2002-11-14,7000.0,Feminino,Salvador,Assessor 3
Camila,Oliveira,2021-05-15,16000.0,Feminino,Brasília,Assessor 3
Carlos,Gomes,2012-12-14,8000.0,Feminino,São Paulo,Escriturário
Bruno,Almeida,2005-10-15,7000.0,Feminino,Fortaleza,Gerente de Equipe
Ana,Oliveira,2017-02-05,7000.0,Feminino,Belo Horizonte,Escriturário
Ana,Santos,2019-02-13,7000.0,Feminino,Recife,Gerente de Soluções
Lucas,Lima,2000-05-09,7000.0,Feminino,Curitiba,Gerente de Soluções
Laura,Pereira,2004-02-13,7000.0,Feminino,Porto Alegre,Gerente de Equipe
Camila,Ferreira,2002-09-14,7000.0,Feminino,Fortaleza,Gerente de Soluções
Carlos,Ferreira,2021-01-18,7000.0,Feminino,Belo Horizonte,Gerente de Soluções
Carlos,Santos,2003-09-10,7000.0,Feminino,Manaus,Assessor 1
Larissa,Gomes,2005-03-27,7000.0,Feminino,Recife,Assessor 1
Bruno,Oliveira,2014-06-12,15000.0,Feminino,Rio de Janeiro,Assessor 3
Pedro,Martins,2012-12-20,7000.0,Feminino,Belo Horizonte,Gerente de Equipe
Maria,Silva,2010-07-16,7000.0,Feminino,Recife,Gerente de Equipe
João,Pereira,2012-07-07,7000.0,Feminino,Recife,Assessor 1
Bruno,Oliveira,2004-09-14,7000.0,Feminino,Porto Alegre,Assessor 3
Carlos,Rodrigues,2017-09-24,7000.0,Feminino,Belo Horizonte,Escriturário
Carlos,Oliveira,2019-11-10,7000.0,Feminino,Fortaleza,Assessor 3
Ana,Gomes,2021-05-21,18000.0,Feminino,São Paulo,Gerente de Equipe
Laura,Ferreira,2003-12-30,7000.0,Feminino,Fortaleza,Escriturário
Carlos,Oliveira,2018-03-31,7000.0,Feminino,Belo Horizonte,Assessor 1
João,Martins,2015-04-27,7000.0,Feminino,Manaus,Assessor 1
Maria,Pereira,2013-09-11,7000.0,Feminino,Fortaleza,Gerente de Equipe
Ana,Almeida,2010-06-30,7000.0,Feminino,Salvador,Gerente de Soluções
Lucas,Rodrigues,2015-11-19,7000.0,Feminino,Manaus,Assessor 1
João,Ferreira,2007-01-19,7000.0,Feminino,Curitiba,Gerente de Equipe
Laura,Martins,2008-05-17,25000.0,Feminino,São Paulo,Gerente de Soluções
Ana,Ferreira,2019-11-18,7000.0,Feminino,Belo Horizonte,Gerente de Equipe
Bruno,Pereira,2002-07-23,7000.0,Feminino,Curitiba,Assessor 2
Maria,Martins,2007-01-24,7000.0,Feminino,Recife,Escriturário
Camila,Martins,2006-02-23,7000.0,Feminino,Salvador,Gerente de Equipe
Laura,Gomes,2005-11-30,18000.0,Feminino,São Paulo,Gerente de Equipe
Carlos,Lima,2016-12-19,7000.0,Feminino,Curitiba,Gerente de Equipe
Carlos,Ferreira,2015-12-14,8000.0,Feminino,Rio de Janeiro,Escriturário
Laura,Silva,2006-09-20,7000.0,Feminino,Belo Horizonte,Assessor 1
Carlos,Rodrigues,2013-07-22,7000.0,Feminino,Curitiba,Gerente de Equipe
Larissa,Ferreira,2003-07-30,7000.0,Feminino,Recife,Assessor 2
Laura,Almeida,2000-06-19,25000.0,Feminino,São Paulo,Gerente de Soluções
Larissa,Oliveira,2013-02-28,13000.0,Feminino,São Paulo,Assessor 2
Maria,Almeida,2009-10-02,7000.0,Feminino,Manaus,Escriturário
Bruno,Lima,2011-09-30,7000.0,Feminino,Curitiba,Gerente de Soluções
Lucas,Lima,2004-07-29,7000.0,Feminino,Salvador,Assessor 2
Maria,Ferreira,2006-10-25,7000.0,Feminino,Manaus,Escriturário
Lucas,Gomes,2014-10-12,7000.0,Feminino,Curitiba,Gerente de Soluções
Camila,Gomes,2011-04-06,13000.0,Feminino,São Paulo,Assessor 2
Lucas,Lima,2015-08-07,7000.0,Feminino,Belo Horizonte,Gerente de Soluções
Larissa,Pereira,2015-05-16,7000.0,Feminino,Curitiba,Gerente de Soluções
Lucas,Gomes,2003-02-21,7000.0,Feminino,Belo Horizonte,Assessor 2
João,Rodrigues,2010-06-04,7000.0,Feminino,Recife,Assessor 1
João,Almeida,2008-03-20,7000.0,Feminino,Manaus,Gerente de Equipe
Larissa,Almeida,2019-01-25,15000.0,Feminino,São Paulo,Assessor 3
Lucas,Pereira,2013-09-10,7000.0,Feminino,Curitiba,Assessor 1
Ana,Martins,2019-10-28,7000.0,Feminino,Porto Alegre,Gerente de Soluções
Laura,Lima,2011-12-04,7000.0,Feminino,Manaus,Gerente de Equipe
Camila,Rodrigues,2011-07-26,7000.0,Feminino,Porto Alegre,Gerente de Soluções
Carlos,Oliveira,2018-09-18,7000.0,Feminino,Porto Alegre,Assessor 1
Bruno,Oliveira,2007-02-01,7000.0,Feminino,Porto Alegre,Assessor 3
Larissa,Martins,2009-10-23,7000.0,Feminino,Manaus,Escriturário
Camila,Silva,2013-08-29,7000.0,Feminino,Porto Alegre,Assessor 2
Camila,Santos,2003-05-28,7000.0,Feminino,Recife,Gerente de Soluções
Camila,Pereira,2003-04-22,7000.0,Feminino,Porto Alegre,Escriturário
Pedro,Gomes,2014-09-28,7000.0,Feminino,Porto Alegre,Assessor 1
João,Ferreira,2001-08-02,7000.0,Feminino,Recife,Assessor 3
Laura,Lima,2016-09-16,20000.0,Feminino,Brasília,Gerente de Equipe
João,Lima,2015-09-05,7000.0,Feminino,Porto Alegre,Gerente de Equipe
João,Almeida,2016-11-17,7000.0,Feminino,Belo Horizonte,Escriturário
Larissa,Ferreira,2017-06-17,7000.0,Feminino,Recife,Gerente de Soluções
Pedro,Santos,2001-05-25,7000.0,Feminino,Manaus,Gerente de Equipe
Laura,Martins,2016-10-27,8000.0,Feminino,Rio de Janeiro,Escriturário
Ana,Martins,2006-10-25,7000.0,Feminino,Salvador,Escriturário
Ana,Santos,2004-01-19,25000.0,Feminino,São Paulo,Gerente de Soluções
Bruno,Gomes,2005-02-22,7000.0,Feminino,Belo Horizonte,Assessor 2
Pedro,Silva,2020-02-13,7000.0,Feminino,Fortaleza,Escriturário
Bruno,Almeida,2015-11-14,7000.0,Feminino,Salvador,Escriturário
Bruno,Martins,2000-08-16,7000.0,Feminino,Manaus,Gerente de Equipe
Maria,Lima,2020-04-01,12000.0,Feminino,Brasília,Assessor 1
Larissa,Lima,2017-01-12,7000.0,Feminino,Manaus,Escriturário
Camila,Lima,2011-06-26,7000.0,Feminino,Porto Alegre,Gerente de Equipe
Maria,Gomes,2008-07-13,7000.0,Feminino,Recife,Assessor 3
Maria,Almeida,2020-01-15,7000.0,Feminino,Belo Horizonte,Gerente de Equipe
Pedro,Martins,2005-06-26,13000.0,Feminino,Rio de Janeiro,Assessor 2
Lucas,Almeida,2009-07-11,11000.0,Feminino,São Paulo,Assessor 1
Pedro,Santos,2001-12-10,7000.0,Feminino,Curitiba,Assessor 2
Pedro,Silva,2015-07-09,7000.0,Feminino,Fortaleza,Gerente de Equipe
Ana,Gomes,2015-02-01,7000.0,Feminino,Curitiba,Assessor 2
Bruno,Gomes,2021-07-06,7000.0,Feminino,Porto Alegre,Assessor 1
Carlos,Lima,2011-07-16,25000.0,Feminino,São Paulo,Gerente de Soluções
