Nome,Sobrenome,DataContratacao,Salario,Sexo,Cidade,Cargo
Pedro,Rodrigues,2007-08-16,7000.0,Masculino,Belo Horizonte,Assessor 1
Laura,Oliveira,2016-04-04,7000.0,Masculino,Curitiba,Assessor 2
Camila,Oliveira,2014-03-14,7000.0,Masculino,Belo Horizonte,Assessor 1
Camila,Ferreira,2013-08-12,7000.0,Masculino,Curitiba,Assessor 1
Pedro,Ferreira,2014-02-20,18000.0,Masculino,Rio de Janeiro,Gerente de Equipe
Ana,Santos,2019-10-08,7000.0,Masculino,Curitiba,Gerente de Soluções
Bruno,Gomes,2019-12-02,7000.0,Masculino,Manaus,Gerente de Soluções
Ana,Rodrigues,2005-11-23,15000.0,Masculino,São Paulo,Assessor 3
Laura,Lima,2006-09-29,7000.0,Masculino,Recife,Escriturário
Camila,Santos,2009-02-01,25000.0,Masculino,Rio de Janeiro,Gerente de Soluções
Bruno,Almeida,2005-02-25,7000.0,Masculino,Recife,Escriturário
Camila,Lima,2009-09-06,16000.0,Masculino,Brasília,Assessor 3
Lucas,Rodrigues,2005-11-09,15000.0,Masculino,Rio de Janeiro,Assessor 3
Lucas,Rodrigues,2015-02-21,7000.0,Masculino,Belo Horizonte,Gerente de Equipe
Ana,Oliveira,2012-06-16,25000.0,Masculino,São Paulo,Gerente de Soluções
Pedro,Lima,2017-01-02,7000.0,Masculino,Recife,Escriturário
João,Santos,2014-04-22,7000.0,Masculino,Curitiba,Assessor 2
Pedro,Silva,2007-01-19,7000.0,Masculino,Belo Horizonte,Assessor 2
Camila,Oliveira,2020-06-05,7000.0,Masculino,Recife,Gerente de Soluções
Carlos,Ferreira,2017-04-15,7000.0,Masculino,Curitiba,Assessor 1
Ana,Silva,2000-08-09,7000.0,Masculino,Salvador,Gerente de Equipe
Maria,Lima,2013-11-02,18000.0,Masculino,Rio de Janeiro,Gerente de Equipe
Ana,Oliveira,2004-02-13,7000.0,Masculino,Belo Horizonte,Assessor 2
Pedro,Oliveira,2020-06-01,7000.0,Masculino,Porto Alegre,Assessor 2
Bruno,Lima,2002-06-22,7000.0,Masculino,Manaus,Assessor 2
Camila,Almeida,2001-03-01,7000.0,Masculino,Curitiba,Gerente de Equipe
Camila,Almeida,2021-08-17,7000.0,Masculino,Manaus,Assessor 3
Pedro,Oliveira,2020-08-22,7000.0,Masculino,Salvador,Gerente de Soluções
Lucas,Almeida,2010-05-29,7000.0,Masculino,Belo Horizonte,Assessor 3
Bruno,Almeida,2006-05-03,7000.0,Masculino,Porto Alegre,Escriturário
Camila,Lima,2014-12-12,8000.0,Masculino,São Paulo,Escriturário
Laura,Ferreira,2016-09-01,25000.0,Masculino,Rio de Janeiro,Gerente de Soluções
Larissa,Lima,2013-12-18,7000.0,Masculino,Belo Horizonte,Gerente de Soluções
Ana,Pereira,2002-07-13,7000.0,Masculino,Salvador,Escriturário
Carlos,Ferreira,2001-04-14,13000.0,Masculino,São Paulo,Assessor 2
João,Ferreira,2004-04-07,7000.0,Masculino,Belo Horizonte,Gerente de Soluções
Maria,Rodrigues,2009-03-22,9000.0,Masculino,Brasília,Escriturário
João,Gomes,2021-04-03,7000.0,Masculino,Manaus,Assessor 2
Bruno,Lima,2019-07-24,28000.0,Masculino,Brasília,Gerente de Soluções
Carlos,Pereira,2014-08-12,7000.0,Masculino,Manaus,Gerente de Soluções
Camila,Oliveira,2003-01-06,7000.0,Masculino,Belo Horizonte,Gerente de Equipe
Pedro,Rodrigues,2013-07-27,8000.0,Masculino,São Paulo,Escriturário
Maria,Oliveira,2009-12-10,7000.0,Masculino,Recife,Assessor 3
Laura,Ferreira,2010-01-18,7000.0,Masculino,Recife,Escriturário
Pedro,Santos,2018-01-09,7000.0,Masculino,Curitiba,Escriturário
Carlos,Gomes,2006-05-26,7000.0,Masculino,Belo Horizonte,Escriturário
Bruno,Ferreira,2016-01-20,28000.0,Masculino,Brasília,Gerente de Soluções
Laura,Almeida,2005-12-19,9000.0,Masculino,Brasília,Escriturário
Camila,Santos,2007-08-21,7000.0,Masculino,Curitiba,Gerente de Equipe
Bruno,Oliveira,2011-04-17,7000.0,Masculino,Manaus,Assessor 1
Lucas,Martins,2003-10-07,7000.0,Masculino,Manaus,Gerente de Equipe
Pedro,Lima,2020-07-08,7000.0,Masculino,Belo Horizonte,Assessor 1
Laura,Almeida,2018-08-21,7000.0,Masculino,Manaus,Gerente de Soluções
Lucas,Martins,2019-07-09,7000.0,Masculino,Curitiba,Gerente de Equipe
Lucas,Pereira,2009-04-10,7000.0,Masculino,Curitiba,Assessor 2
Camila,Ferreira,2010-12-25,7000.0,Masculino,Curitiba,Assessor 2
Bruno,Rodrigues,2013-09-11,25000.0,Masculino,São Paulo,Gerente de Soluções
Pedro,Almeida,2012-07-26,7000.0,Masculino,Curitiba,Assessor 3
Camila,Santos,2014-06-29,11000.0,Masculino,Rio de Janeiro,Assessor 1
Larissa,Santos,2003-11-15,25000.0,Masculino,São Paulo,Gerente de Soluções
Pedro,Gomes,2014-07-04,8000.0,Masculino,São Paulo,Escriturário
Bruno,Ferreira,2020-08-16,25000.0,Masculino,São Paulo,Gerente de Soluções
Ana,Silva,2009-04-25,7000.0,Masculino,Recife,Gerente de Soluções
Ana,Pereira,2004-04-19,7000.0,Masculino,Belo Horizonte,Gerente de Soluções
Ana,Rodrigues,2001-02-22,25000.0,Masculino,Rio de Janeiro,Gerente de Soluções
Ana,Silva,2005-04-18,7000.0,Masculino,Manaus,Assessor 1
João,Oliveira,2020-09-19,7000.0,Masculino,Belo Horizonte,Assessor 1
Maria,Silva,2020-09-11,7000.0,Masculino,Porto Alegre,Assessor 2
Pedro,Ferreira,2020-06-27,7000.0,Masculino,Salvador,Assessor 2
Laura,Pereira,2019-02-08,14000.0,Masculino,Brasília,Assessor 2
Ana,Almeida,2019-08-09,7000.0,Masculino,Fortaleza,Assessor 1
Larissa,Santos,2012-02-19,7000.0,Masculino,Belo Horizonte,Assessor 2
Pedro,Silva,2000-08-11,7000.0,Masculino,Porto Alegre,Assessor 1
Pedro,Martins,2008-04-20,7000.0,Masculino,Porto Alegre,Assessor 3
Maria,Gomes,2004-09-06,7000.0,Masculino,Belo Horizonte,Gerente de Equipe
Carlos,Ferreira,2000-03-28,25000.0,Masculino,São Paulo,Gerente de Soluções
Lucas,Oliveira,2014-10-11,7000.0,Masculino,Fortaleza,Assessor 2
Larissa,Silva,2006-06-21,7000.0,Masculino,Belo Horizonte,Assessor 3
Pedro,Oliveira,2020-11-05,7000.0,Masculino,Manaus,Gerente de Soluções
Laura,Lima,2009-12-19,7000.0,Masculino,Salvador,Assessor 2
Lucas,Rodrigues,2015-09-13,7000.0,Masculino,Manaus,Escriturário
Bruno,Ferreira,2007-01-15,7000.0,Masculino,Belo Horizonte,Gerente de Equipe
Bruno,Martins,2007-08-28,7000.0,Masculino,Porto Alegre,Assessor 3
Camila,Oliveira,2010-01-15,7000.0,Masculino,Belo Horizonte,Assessor 3
Larissa,Pereira,2004-02-29,25000.0,Masculino,Rio de Janeiro,Gerente de Soluções
João,Pereira,2019-10-08,16000.0,Masculino,Brasília,Assessor 3
João,Gomes,2018-11-10,7000.0,Masculino,Belo Horizonte,Assessor 1
Camila,Santos,2002-06-26,7000.0,Masculino,Manaus,Gerente de Equipe
